index,destination,lat,lon,dt,temp,pressure,description,Link,House,Description,Score
20,Cassis,43.2140359,5.5396318,1650540194,290.57,1002,overcast clouds,https://www.booking.com#basiclayout,UNE TERRASSE SUR LA MER 4 pers 2 chambres VUE MER,"Situé à Cassis, à seulement 100 mètres de Bestouan, l'établissement UNE TERRASSE SUR LA MER 4 pers 2 chambres VUE MER propose un hébergement en bord de mer avec une terrasse et une connexion Wi-Fi...","8,7"
21,Marseille,43.2961743,5.3699525,1650540194,291.33,1002,broken clouds,https://www.booking.com#basiclayout,Maisons du Monde Hôtel & Suites - Marseille Vieux Port,"Surplombant le Vieux-Port, l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port vous accueille au cœur de Marseille. Il propose des chambres modernes et climatisées. ","8,4"
22,Aix en Provence,43.5298424,5.4474738,1650540194,289.83,1002,overcast clouds,https://www.booking.com#basiclayout,TheCamp Hotel&Lodges - Aix en Provence,Établissement Voyage Durable,"8,5"
23,Avignon,43.9492493,4.8059012,1650540195,289.61,1004,scattered clouds,https://www.booking.com#basiclayout,Maison XIXe et Jardin en Intramuros,Hébergement géré par un particulier,"9,1"
24,Uzes,44.0121279,4.4196718,1650540195,288.55,1004,overcast clouds,https://www.booking.com#basiclayout,Hôtel Le Saint-Geniès,"Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. ","8,9"
25,Nimes,43.8374249,4.3600687,1650540195,289.28,1004,broken clouds,https://www.booking.com#basiclayout,ibis budget Nimes Centre Gare,"Situé à seulement 50 mètres de la gare de Nîmes, l'ibis Budget Nîmes Centre Gare vous propose une réception ouverte 24h/24, une bagagerie et une connexion Wi-Fi gratuite dans l'ensemble de...","8,0"
26,Aigues Mortes,43.5658225,4.1912837,1650540195,289.0,1004,overcast clouds,https://www.booking.com#basiclayout,Maison des Croisades,"Située à Aigues-Mortes, la Maison des Croisades propose un service de location de vélos et un jardin. Il dispose d'une connexion Wi-Fi gratuite et d'une terrasse. ","8,9"
27,Saintes Maries de la mer,43.4522771,4.4287172,1650540195,289.58,1004,light rain,https://www.booking.com#basiclayout,Mas De Calabrun,"Doté d’une piscine extérieure, d’un terrain de pétanque et d’une table de ping-pong, l’hôtel Mas De Calabrun est installé sur un domaine privé à Saintes-Maries-de-la-Mer, dans le Parc naturel régional...","8,6"
28,Collioure,42.52505,3.0831554,1650540195,285.69,1005,overcast clouds,https://www.booking.com#basiclayout,Le Mas des Citronniers,"Situé dans le centre de Collioure, à seulement 250 mètres de la plage, le Mas des Citronniers propose des chambres climatisées dans un bâtiment traditionnel catalan. ","8,0"
29,Carcassonne,43.2130358,2.3491069,1650540195,283.93,1007,light rain,https://www.booking.com#basiclayout,Domaine Le Couvent,Établissement Voyage Durable,"9,3"
30,Ariege,42.9455368,1.4065544156065486,1650540195,278.22,1010,overcast clouds,https://www.booking.com#basiclayout,dtente sky lodge,Hébergement géré par un particulier,"9,4"
31,Toulouse,43.6044622,1.4442469,1650540195,283.74,1008,overcast clouds,https://www.booking.com#basiclayout,Odalys City Toulouse Centre Compans Caffarelli,Établissement Voyage Durable,"8,7"
32,Montauban,44.0175835,1.3549991,1650540196,283.39,1007,overcast clouds,https://www.booking.com#basiclayout,Brit Hotel Confort Montauban,"Le Brit Hotel Confort Montauban est situé au sud de la ville de Montauban, à 300 mètres de la sortie 66 de l'autoroute A20. ","7,5"
33,Biarritz,43.4832523,-1.5592776,1650540196,284.52,1009,light rain,https://www.booking.com#basiclayout,"HYPER CENTRE, VUE MER ,APPARTEMENT NEUF, 6 adultes",Hébergement géré par un particulier,"9,4"
34,Bayonne,43.4933379,-1.475099,1650540196,284.57,1009,light rain,https://www.booking.com#basiclayout,Villa la Renaissance,"La Villa la Renaissance propose des chambres à Bayonne, à 600 mètres du parc Ansot et à 1,2 km de la cathédrale Sainte-Marie. Il propose un service d'étage et une terrasse. ","9,2"
35,La Rochelle,46.1591126,-1.1520434,1650540196,291.22,1007,clear sky,https://www.booking.com#basiclayout,Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,"L’établissement Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port vous accueille dans la ville de La Rochelle, sur le vieux port. ","8,4"
